,id,lat,lon
14689,1589705949,53.7577486,91.4111779
14690,1589706013,53.7577486,91.4116079
14691,1589706024,53.7577544,91.4114250
14692,1589706090,53.7577661,91.4110791
14693,1589706146,53.7577807,91.4110247
14694,1589706202,53.7577982,91.4109803
14695,1589706220,53.7578421,91.4109358
14696,1589706226,53.7578800,91.4107826
14697,1589706227,53.7578830,91.4107282
14698,1589706229,53.7579472,91.4104268
14699,1589706230,53.7579648,91.4103773
14700,1589706231,53.7579852,91.4103329
14701,1589706232,53.7580086,91.4102933
14702,1589706249,53.7581167,91.4101945
14703,1589706260,53.7581518,91.4101896
14704,1589706310,53.7581839,91.4101896
14705,1589706324,53.7582394,91.4102241
14706,1589706410,53.7582686,91.4102093
14707,1589706428,53.7582891,91.4098634
14708,1589706429,53.7582891,91.4099178
14709,1589706484,53.7582978,91.4098041
14710,1589706498,53.7583037,91.4100265
14711,1589706532,53.7583241,91.4100660
14712,1589706552,53.7583475,91.4097201
14713,1589706570,53.7584673,91.4097003
14714,1589706757,53.7584936,91.4096114
14715,1589706758,53.7585111,91.4095422
14716,1589706759,53.7585286,91.4094927
14717,1589706761,53.7585579,91.4094631
14718,1589706768,53.7586163,91.4094137
14719,1589706769,53.7586455,91.4093840
14720,1589706770,53.7586776,91.4093939
14721,1589706787,53.7587244,91.4094433
14722,1589706795,53.7587448,91.4094779
14723,1589706834,53.7587770,91.4094878
14724,1589706836,53.7588062,91.4094730
14725,1589706862,53.7588705,91.4094829
14726,1589706914,53.7588997,91.4094927
14727,1589706916,53.7589347,91.4094779
14728,1589706917,53.7589640,91.4094631
14729,1589706919,53.7590282,91.4094779
14730,1589706920,53.7590633,91.4094779
14731,1589706921,53.7590837,91.4095175
14732,1589706927,53.7591130,91.4095372
14733,1589706965,53.7591334,91.4094927
14734,1589706969,53.7591597,91.4094680
14735,1589706975,53.7592240,91.4094582
14736,1589707047,53.7592532,91.4094334
14737,1589707058,53.7592883,91.4094285
14738,1589707075,53.7593146,91.4094532
14739,1589707115,53.7593876,91.4095372
14740,1589707217,53.7594080,91.4095817
14741,1589707243,53.7594314,91.4096163
14742,1589707305,53.7594636,91.4095965
14743,1589707451,53.7596359,91.4095422
14744,1589707477,53.7596651,91.4095619
14745,1589707494,53.7596944,91.4095768
14746,1589707579,53.7597528,91.4095520
