,0
1254,8080826956
1255,8080826957
1256,8080826953
1257,8080826955
1258,8080826954
1259,8080826950
1260,8080826951
1261,8080826952
1262,8080786034
1263,8080826949
1264,8080786033
1265,8080826947
1266,8080826948
1267,8080786032
1268,8080826942
1269,8080826946
1270,8080826943
1271,8080826945
1272,8080826944
1273,613489544
1274,8080826937
1275,8080826941
1276,8080826936
1277,8080826940
1278,613489545
1279,8080826939
1280,8080826938
1281,8080826935
1282,8080826933
1283,8080826934
1284,613489546
1285,8080826932
1286,8080826931
1287,8080826929
1288,8080826930
1289,8080826928
1290,8080826927
1291,8080826926
1292,613489547
1293,8080826924
1294,8080826925
1295,8080826923
1296,8080826921
1297,8080826922
1298,8080826920
1299,8080826919
1300,8080826918
1301,8080826917
1302,8080809516
1303,8080809514
1304,613489549
1305,8080809515
1306,8080809513
1307,8080809429
1308,613489552
1309,613489555
1310,8080809428
1311,8080809427
1312,613489557
1313,8080809426
1314,613489560
1315,613489563
1316,8080809425
1317,613489565
1318,8080786058
1319,8080786060
1320,8080786059
1321,613489568
1322,613489615
1323,613503011
1324,8153319956
1325,8153319962
1326,8153319963
1327,8153319964
1328,8153319965
1329,8153319966
1330,8153319967
1331,8153319968
1332,8153319969
1333,8153319970
1334,8153319960
1335,8153319971
1336,8153319961
1337,8153319972
1338,8153319973
1339,7045877241
1340,8153319974
1341,8153319975
1342,7045877240
1343,8153319978
1344,8153319979
1345,8153319977
1346,8153319980
1347,8153319981
1348,8153319976
1349,7045877239
1350,7045877238
1351,8153319998
1352,8153319999
1353,8153320000
1354,8153319997
1355,8153319982
1356,8153319996
1357,8153319983
1358,8153319995
1359,8153319984
1360,8153319985
1361,8153319994
1362,8153319986
1363,8153319987
1364,8153319991
1365,8153319988
1366,8153319992
1367,8153319989
1368,8153319990
1369,8153319993
1370,1599734770
1371,8153320005
1372,1599734796
1373,7045877237
1374,613503012
1375,1599734764
1376,8153320003
1377,8153320004
1378,613503013
1379,8153320002
1380,7045877236
1381,8153320001
1382,613503014
1383,7045877235
1384,8153319950
1385,7045877234
1386,7045877233
1387,7045877232
1388,7045877231
1389,8153319949
1390,8153319945
1391,8153319943
1392,8153319948
1393,8153319942
1394,8153319944
1395,8153319947
1396,8153319946
1397,8153319941
1398,8153319940
1399,8153319939
1400,8153319938
1401,8153319937
1402,8153319936
1403,8153319935
1404,8153319934
1405,8153319933
1406,8153319932
1407,7045877230
1408,613503015
1409,8153283180
1410,7045877229
1411,7045877228
1412,8153283182
1413,8153283181
1414,7045877227
1415,8153283184
1416,8153283183
1417,8153319931
1418,8153283186
1419,8153283185
1420,8153283200
1421,613503016
1422,8153283199
1423,8153283198
1424,8153283194
1425,8153283197
1426,8153283193
1427,8153283196
