,lat_from,lon_from,lat_to,lon_to
14273,53.7426169,91.4426409,53.7426210,91.4427423
14274,53.7426210,91.4427423,53.7425542,91.4427654
14275,53.7425542,91.4427654,53.7425283,91.4428369
14276,53.7425283,91.4428369,53.7424279,91.4429526
14277,53.7430706,91.4438507,53.7430844,91.4440724
14278,53.7430844,91.4440724,53.7431284,91.4447814
14279,53.7431284,91.4447814,53.7431202,91.4454155
14280,53.7431202,91.4454155,53.7430798,91.4455007
14281,53.7430798,91.4455007,53.7430080,91.4456524
14282,53.7430080,91.4456524,53.7430238,91.4466422
14283,53.7430238,91.4466422,53.7430396,91.4468344
14284,53.7412591,91.4415996,53.7412836,91.4416803
14285,53.7412836,91.4416803,53.7413368,91.4416688
14286,53.7413368,91.4416688,53.7413668,91.4415950
14287,53.7413668,91.4415950,53.7414009,91.4415788
14288,53.7414009,91.4415788,53.7414513,91.4416296
14289,53.7417767,91.4417028,53.7417921,91.4416490
14290,53.7417921,91.4416490,53.7417545,91.4414745
14291,53.7417545,91.4414745,53.7417092,91.4415593
14292,53.7417092,91.4415593,53.7415115,91.4415593
14293,53.7415115,91.4415593,53.7414855,91.4416262
14294,53.7388240,91.4433613,53.7388285,91.4434677
14295,53.7388285,91.4434677,53.7388408,91.4436394
14296,53.7388408,91.4436394,53.7390126,91.4440407
14297,53.7390126,91.4440407,53.7391531,91.4444880
14298,53.7391531,91.4444880,53.7393547,91.4450854
14299,53.7393547,91.4450854,53.7393821,91.4452864
14300,53.7414513,91.4416296,53.7414595,91.4415973
14301,53.7414595,91.4415973,53.7414145,91.4415396
14302,53.7414145,91.4415396,53.7414145,91.4414635
14303,53.7414145,91.4414635,53.7413395,91.4414243
14304,53.7413395,91.4414243,53.7413300,91.4415419
14305,53.7413300,91.4415419,53.7412591,91.4415996
14306,53.7424778,91.4421339,53.7424595,91.4422073
14307,53.7424595,91.4422073,53.7425009,91.4422839
14308,53.7425009,91.4422839,53.7425453,91.4422920
14309,53.7425453,91.4422920,53.7425559,91.4424045
14310,53.7425559,91.4424045,53.7426166,91.4424502
14311,53.7426166,91.4424502,53.7426822,91.4424437
14312,53.7430632,91.4417914,53.7430669,91.4414683
14313,53.7430669,91.4414683,53.7430072,91.4413627
14314,53.7430072,91.4413627,53.7430448,91.4413056
14315,53.7430448,91.4413056,53.7430534,91.4411194
14316,53.7430534,91.4411194,53.7430835,91.4401699
14317,53.7430835,91.4401699,53.7430776,91.4401382
14318,53.7430776,91.4401382,53.7430525,91.4401463
14319,53.7430525,91.4401463,53.7430323,91.4402757
14320,53.7207294,91.4893361,53.7207719,91.4890178
14321,53.7207719,91.4890178,53.7207501,91.4889123
14322,53.7207501,91.4889123,53.7206653,91.4889471
14323,53.7206653,91.4889471,53.7206370,91.4888675
14324,53.7206370,91.4888675,53.7205805,91.4888466
14325,53.7205805,91.4888466,53.7203533,91.4889207
14326,53.7203533,91.4889207,53.7202263,91.4890172
14327,53.7202263,91.4890172,53.7200295,91.4890816
14328,53.7200295,91.4890816,53.7197692,91.4892211
14329,53.7197692,91.4892211,53.7191279,91.4894520
14330,53.7191279,91.4894520,53.7188521,91.4895512
14331,53.7188521,91.4895512,53.7183908,91.4897054
14332,53.7183908,91.4897054,53.7180223,91.4898354
14333,53.7180223,91.4898354,53.7177220,91.4900079
14334,53.7177220,91.4900079,53.7173617,91.4900684
14335,53.7173617,91.4900684,53.7167075,91.4904649
14336,53.7167075,91.4904649,53.7159544,91.4912145
14337,53.7159544,91.4912145,53.7158314,91.4914537
14338,53.7158314,91.4914537,53.7155788,91.4916839
14339,53.7155788,91.4916839,53.7154511,91.4917154
14340,53.7154511,91.4917154,53.7153343,91.4915949
14341,53.7153343,91.4915949,53.7152070,91.4912697
14342,53.7152070,91.4912697,53.7151865,91.4911553
14343,53.7151865,91.4911553,53.7152339,91.4910835
14344,53.7152339,91.4910835,53.7152442,91.4910197
14345,53.7152442,91.4910197,53.7152302,91.4909505
14346,53.7152302,91.4909505,53.7151915,91.4909062
14347,53.7151915,91.4909062,53.7151283,91.4908357
14348,53.7151283,91.4908357,53.7151228,91.4907711
14349,53.7151228,91.4907711,53.7151540,91.4907057
14350,53.7151540,91.4907057,53.7151366,91.4905505
14351,53.7151366,91.4905505,53.7151390,91.4904313
14352,53.7151390,91.4904313,53.7151715,91.4903659
14353,53.7151715,91.4903659,53.7151806,91.4902643
14354,53.7151806,91.4902643,53.7151135,91.4901271
14355,53.7151135,91.4901271,53.7150314,91.4901332
14356,53.7150314,91.4901332,53.7149736,91.4901039
14357,53.7149736,91.4901039,53.7149515,91.4900087
14358,53.7149515,91.4900087,53.7149448,91.4899202
14359,53.7149448,91.4899202,53.7149602,91.4898715
14360,53.7149602,91.4898715,53.7149924,91.4899069
14361,53.7149924,91.4899069,53.7150335,91.4898907
14362,53.7150335,91.4898907,53.7150533,91.4898159
14363,53.7150533,91.4898159,53.7150358,91.4896845
14364,53.7150358,91.4896845,53.7149911,91.4895108
14365,53.7149911,91.4895108,53.7149436,91.4893377
14366,53.7149436,91.4893377,53.7150210,91.4892448
14367,53.7150210,91.4892448,53.7151160,91.4892997
14368,53.7151160,91.4892997,53.7151634,91.4895066
14369,53.7151634,91.4895066,53.7152472,91.4895368
14370,53.7152472,91.4895368,53.7152933,91.4894348
14371,53.7152933,91.4894348,53.7153539,91.4892765
14372,53.7153539,91.4892765,53.7155306,91.4890169
14373,53.7155306,91.4890169,53.7157878,91.4888059
14374,53.7157878,91.4888059,53.7158028,91.4886291
14375,53.7158028,91.4886291,53.7158527,91.4884687
14376,53.7158527,91.4884687,53.7159626,91.4884898
14377,53.7159626,91.4884898,53.7160426,91.4887136
14378,53.7160426,91.4887136,53.7161850,91.4887431
14379,53.7161850,91.4887431,53.7162274,91.4886840
14380,53.7162274,91.4886840,53.7161825,91.4886587
14381,53.7161825,91.4886587,53.7161625,91.4884729
14382,53.7161625,91.4884729,53.7161050,91.4883843
14383,53.7161050,91.4883843,53.7161950,91.4883463
14384,53.7161950,91.4883463,53.7162924,91.4883716
14385,53.7162924,91.4883716,53.7164088,91.4882965
